# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-05-16 00:06:34; hka-aqm-a108;  24.26;  43.94;   492;   748;     6;     0;     1;     0;  -128;  -128;  -9.5; drag-outd-01; 2; 8; 125000; 20836
2023-05-16 00:21:42; hka-aqm-a108;  24.24;  44.00;   495;   747;     6;     0;     4;    18;  -128;  -128;  -9.0; drag-outd-01; 5; 8; 125000; 20837
2023-05-16 00:36:48; hka-aqm-a108;  24.21;  44.07;   501;   741;     6;     1;     2;     0;  -126;  -126;  -6.0; drag-outd-01; 0; 8; 125000; 20838
2023-05-16 00:51:54; hka-aqm-a108;  24.18;  44.26;   492;   741;     6;     2;     2;     0;  -124;  -124;  -5.5; drag-outd-01; 6; 8; 125000; 20839
2023-05-16 01:07:02; hka-aqm-a108;  24.16;  44.36;   501;   732;     6;     0;     4;    18;  -129;  -129;  -8.0; drag-outd-01; 3; 8; 125000; 20840
2023-05-16 01:22:08; hka-aqm-a108;  24.14;  44.49;   494;   734;     6;     0;     1;     0;  -120;  -120;  -6.8; drag-lps8-02; 5; 8; 125000; 20841
2023-05-16 01:37:14; hka-aqm-a108;  24.12;  44.52;   498;   726;     6;     0;     1;     0;  -120;  -120;  -7.5; drag-lps8-02; 4; 8; 125000; 20842
2023-05-16 01:52:21; hka-aqm-a108;  24.09;  44.68;   492;   724;     6;     0;     4;    18;  -126;  -126;  -7.5; drag-outd-01; 2; 8; 125000; 20843
2023-05-16 02:07:28; hka-aqm-a108;  24.06;  44.78;   491;   718;     6;     0;     0;     0;  -119;  -119;  -7.2; drag-outd-01; 1; 8; 125000; 20844
2023-05-16 02:22:34; hka-aqm-a108;  24.04;  44.81;   490;   700;     9;     3;     1;     0;  -127;  -127;  -6.8; drag-outd-01; 3; 8; 125000; 20845
2023-05-16 02:37:42; hka-aqm-a108;  24.00;  44.94;   489;   695;     6;     0;     4;    18;  -124;  -124;  -5.5; drag-outd-01; 6; 8; 125000; 20846
2023-05-16 02:52:48; hka-aqm-a108;  23.98;  45.04;   493;   718;     6;     0;     2;     0;  -125;  -125;  -9.8; drag-lps8-02; 0; 8; 125000; 20847
2023-05-16 03:07:54; hka-aqm-a108;  23.97;  45.04;   490;   713;     6;     0;     1;     0;  -124;  -124;  -9.5; drag-lps8-02; 7; 8; 125000; 20848
